query,gold_tool,requires_tool
Are there any good adventure games with puzzle-solving elements that feature a diverse range of challenging puzzles and require players to think critically and creatively to progress through the game?,GameTool,True
Why is it so difficult to find a rental property in Montreal? Help me find one!,HouseRentingTool,True
Any suggestions for quick and easy dinner ideas?,DietTool,True
What is the formula for the volume of a sphere?,,False
What does the word 'ephemeral' mean?,,False
I'm hosting a big event and I want a visually appealing website to promote it. Can you generate one for me within a minute?,WebsiteTool,True
"I need a unique and catchy domain name that reflects my passion for photography, which I can use specifically for showcasing my portfolio of stunning photographs.",URLTool,True
Can you suggest nonprofits that are actively working towards a cause?,CharityTool,True
Define 'amphibian' versus 'reptile'.,,False
"I need immediate assistance in finding a pet-friendly apartment in the bustling city of Chicago, as I am currently in search of a suitable living space that allows me to accommodate my beloved furry companion.",HouseRentingTool,True
"I have an upcoming interview for a software development position, and I would like advice on how to best prepare for technical questions and demonstrate my skills and experience in software development to the hiring managers.",JobTool,True
What is a synonym for 'happy'?,,False
What is the boiling point of nitrogen?,,False
What is the capital of Portugal?,,False
Name the deepest lake in the world.,,False
Define 'mole' as a unit in chemistry.,,False
I am looking for reliable and tested code snippets specifically meant for the purpose of implementing user authentication in a Node.js project.,RepoTool,True
Is there a way to adjust the color saturation in a video I recorded on my phone?,MediaModifyTool,True
Who wrote 'The Sun Also Rises'?,,False
Hello! I need help in identifying the most suitable career path for me. Can you suggest a plugin that can analyze my personality and provide career recommendations?,JobTool,True
Can you recommend a book on machine learning from Wikidocs?,BookTool,True
Define 'mitochondria'.,,False
"I want to see a detailed and labeled diagram of the human digestive system, clearly showing the structures and organs including the mouth, esophagus, stomach, small intestine, large intestine, liver, pancreas, and gallbladder.",ChartTool,True
Who is the Roman god of war?,,False
What companies in my area are currently offering job opportunities specifically for nurses?,JobTool,True
Can you help me find affordable flights from New York to Los Angeles?,TripTool,True
Define 'ohm' as a unit.,,False
Can you please provide me with information on where I can find the most recently updated job openings specifically within the United Kingdom? I would greatly appreciate your assistance in this matter.,JobTool,True
How can I get nutrition advice?,DietTool,True
"Could you analyze the customer reviews for different laptops under $1000 and provide a detailed report including information on performance, durability, battery life, display quality, portability, and overall user satisfaction?",Review,True
"I would appreciate it if you could provide me with a collection of current popular French songs from various genres, including artists such as Stromae, Christine and the Queens, and Indila, that I can listen to for entertainment and language practice purposes.",MusicTool,True
What is the capital of South Africa?,,False
I need a meme related to cats and pizza. Can you create one?,MemeTool,True
Who is the author of 'A Brief History of Time'?,,False
Please give me the address and other details for J.P. Morgan Securities PLC in the UK.,CompanyInfoTool,True
Does Best Buy happen to have discounts on their latest laptops?,Discount,True
Name the smallest country in the world.,,False
Who is the inventor of dynamite?,,False
What is the difference between a noun and a verb?,,False
"Can you assist me in paraphrasing my resume to emphasize my specific skills, achievements, and capabilities more effectively?",PolishTool,True
What is the capital of Argentina?,,False
Name the strongest natural material on Earth.,,False
"I need a new vacuum cleaner under $200, can you find me some options?",ProductSearch,True
Where can I find a restaurant in Japan that I can book a table at?,RestaurantBookingTool,True
Define 'antimatter'.,,False
"I'd like to see high-definition videos, preferably of the interior and exterior views, showcasing the daily activities, astronaut life, scientific experiments, and breathtaking footage of the International Space Station.",NASATool,True
Define 'dipole moment'.,,False
"I want to move to Austin, Texas and I need an apartment. I'm a student so I'm looking for something affordable and close to the university. Show me options within $1500 per month.",HouseRentingTool,True
I would like an editing suggestion to enhance the vibrancy and warmth of my sunset photo.,MediaModifyTool,True
Yo! I need to know the latest scores of my favorite sports teams ASAP! Can MixerBox News fetch that information for me?,NewsTool,True
Name the planet with the most moons.,,False
What is the capital of Egypt?,,False
I'm attending an important event today. Could you give me astrological predictions for my sun sign to see how it aligns with my plans?,StrologyTool,True
What is the capital of New Zealand?,,False
I don't have time to watch this 30-minute documentary as I am currently occupied with various tasks and responsibilities that require my immediate attention and prioritization.,VideoSummarizeTool,True
"I heard there was a scientific research paper about COVID-19 published recently, can you find it from a reputable medical journal's website?",PDF&URLTool,True
I'm looking for talent profiles of experienced professionals who specialize specifically in the Blockchain sector.,JobTool,True
What is the meaning of 'fastidious'?,,False
My best friend's wedding is coming up and I'm clueless about what to gift her. Can you provide some ideas? She is an artist who loves painting and sketching.,GiftTool,True
Can you help me decide between the Canon EOS R6 and the Nikon Z6 II? I need advice on which one is a better buy.,ProductComparison,True
Name the layer of the atmosphere where weather occurs.,,False
What is the meaning of 'paradigm'?,,False
Who is credited with inventing the telephone?,,False
Can you provide me guidance on how to craft a compelling summary for my resume?,ResumeTool,True
Can you please provide me with a list of lawyers in Kyoto who specialize in intellectual property rights and are able to provide legal advice on this matter?,LawTool,True
Who wrote 'The Divine Comedy'?,,False
I need to find a reliable car repair service near me.,local,True
Define 'matrix' in linear algebra.,,False
Is there any chance of snow in Moscow tomorrow?,WeatherTool,True
